#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
x|K;&c]P~E	TopicCloze	Active::ProgrammingGeneral::Windows	Type {{c1::cmd}} in file broswer's {{c2::address bar}} to open a cmd in that directory	win				<div>&nbsp;Windows: Type cmd in file broswer to open a cmd in that directory</div>	ToCards_01_03_25.odt
t7u6,y8Q!h	TopicCloze	Active::ValyParent::Notes	{{c1::Oblique Applicative}}<br><ul><li>{{c3::Add}} {{c4::i-}} {{c3::to}}: {{c2::anything else}}</li></ul>	Obl. App.	1			"<div>To form the oblique applicative…</div>
<ul>
<li>Replace the <em>h</em> at the beginning of a verb with <em>j</em>.</li>
<li>Add <em>j-</em> to verbs beginning with <em>i</em>, <em>ī</em>, <em>u</em>, <em>ū</em>, <em>y</em>, <em>ȳ</em>, or any diphthong.</li>
<li>Add <em>i-</em> to all other verbs.</li></ul>"	HV_tips_and_tricks
"NTS#$~fR$r"	ExCloze	Active::ProgrammingGeneral::VSCode	If you edit {{c1::env vars}} while s/th is open<br>{{c3::close and open}} to see changes	If you edit environment varaibles while something is open you need to close and open it again for it do see the chagnes	ToCards_01_29_25.odt				
CVpB5{u`0y	TopicCloze	Active::ProgrammingGeneral::Python	"<ul><li><span class=""code"">import {{c1::glob}}</span></li><li><span class=""code"">filenames = {{c1::glob}}.{{c1::glob}}(sys.argv[1])</span></li></ul> <br> lets you use {{c3::wildcards}} from the commandline in {{c2::python}}<br>"	py	2		x	"import glob

filenames = glob.glob(sys.argv[1])<br>

lets you use wildcards from the commandline python"	ToCards_01_29_25.odt
Fwy-4A+8ZU	ExCloze	Active::ProgrammingGeneral::ThingsToDo	Make command to {{c2::add paths to %PATH%}}<div>{{c1::Way to easy to forget}} {{c2::%PATH%}} in front of new path&nbsp;<br></div>	Make a command to add paths to %PATH%. It’s way to easy to remember to put “%PATH% in front of your new path and if you don’t it will overwrite everything.	ToCards_01_29_25.odt				
IQQ>P<_ep5	ExCloze	Active::ProgrammingGeneral	<div>{{c1::short circuit conditioning}} means a {{c2::particular a value}} in</div><div>&nbsp;{{c3::|| or &amp;&amp;}} means {{c4::don’t check the rest}}<br></div>	<pre>short circuit conditioning is when you get a value in an || or an &amp;&amp; you don’t need to check the rest. True for || and false for &amp;&amp;.</pre>	ToCards_01_29_25.odt				
JRB$0]iScH	TopicCloze	Active::ProgrammingGeneral::javascript	"<span class=""code"">parent.innerHTML =<br>parent.innerHTML.{{c4::replace}}(<br>&nbsp; /(&lt;span class=""Latn""&gt;.*?&lt;\/span&gt;)/, '{{c3::<b>$1</b>}}' );</span><br><br>  {{c3::$1}} represents the {{c2::first capture group}} from the regular expression."	regex				"parent.innerHTML = parent.innerHTML.replace(
<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; /(&lt;span class=""Latn""&gt;.*?&amp;lt;\/span&amp;gt;)/,
<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; '$1'
<br>&nbsp;&nbsp;&nbsp; );
<br>$1 representeth the first capture group from the regular expression."	ToCards_01_29_25.odt
PDdHw%S0^:	TopicCloze	Active::ProgrammingGeneral::regex	<ul><li>&nbsp;{{c1::.}} → Match {{c2::any character}} {{c3::(except newlines)}}.</li><li> {{c4::*}} → Match {{c5:: 0 &lt;= of preceeding char}}</li><li>{{c9::(some quantifier)}} {{c6::?}} →&nbsp;<br>This makes {{c7::preceeding lazy}}, {{c8::stops at the first match}}</li></ul>	regex				"<div>&nbsp;. → Match any character (except newlines).</div>
<pre>* → Match zero or more of the preceding character (. in this case), meaning it matcheth as much as possible.
? → This makes * lazy, meaning it stoppeth at the first match instead of the last.</pre>"	ToCards_01_29_25.odt
A[y.L/1W@`	ExCloze	Active::ProgrammingGeneral::javascript	"JS: <span class=""code"">{{c1::Array.from()}}</span> can turn {{c2::an iterator into an array}}"	<br>The Array.from() static method creates a new, shallow-copied Array instance from an iterable or array-like object.	ToCards_02_02_25.odt				
Q28}vgb:;/	TopicCloze	Active::ProgrammingGeneral::javascript	"<span class=""code"">function <b>withFunc</b>() {<br>&nbsp; console.log(""yo"");<br>}</span><br><span class=""code"">console.log(<b>withFunc</b>.toString());</span><br><br><span class=""code"">{{c1::function withFunc() {<br>&nbsp; console.log(""yo"");<br>}<br>::output?}}</span>"	JS				"JS:
function withFunct() {
  console.log(""yo"");
}
console.log(withFunct.toString());

out:

function withFunct() {
  console.log(""yo"");
}"	ToCards_02_02_25.odt
fy8u}]-[Ha	TopicCloze	Active::ProgrammingGeneral::javascript	"<span class=""code"">function <b>withArrow&nbsp;</b>= ()&nbsp; =&gt; {<br>&nbsp; console.log(""yo"");<br>}</span><br><span class=""code"">console.log(<b>withArrow</b>.toString());</span><br><br><span class=""code"">{{c1::() =&gt; {<br>&nbsp; console.log(""yo"");<br>}<br>::output?}}</span>"	JS				"JS:<br> const withArrow = () =&gt; {<br>&nbsp; console.log(""yo"");<br>} <br>console.log(withArrow.toString());<br>out:<br> () =&gt; {<br>&nbsp; console.log(""yo"");<br>}"	ToCards_02_02_25.odt
sm4`F(W<N}	TopicCloze	Active::ProgrammingGeneral::javascript	"{{c1::get the name}} of a {{c2::function}}<br><br><span class=""code"">myFunct.{{c3::name}}</span>"	JS				<br>get the name of a function<br><br>myFunct.name<br><br>	ToCards_02_02_25.odt
wU{csEX+LG	TopicCloze	Active::ProgrammingGeneral::javascript	"get {{c1::name}} of a {{c4::variable}}<br><br><span class=""code"">{{c2::Object.keys}}({myVariable}){{c3::[0]}}</span>"	JS				get name of a variable<br><br>const myFirstName = 'John'<br>Object.keys({myFirstName})[0]<br>	ToCards_02_02_25.odt
h@bV$NH7wb	TopicCloze	Active::ProgrammingGeneral::javascript	"{{c1::iterate over kvps}} in {{c2::object}}<br><br><span class=""code"">{{c3::Object.entries}}(mainFuncs).forEach( ({{c4::[key, value]}}) =&gt; {</span>"	JS				<br>JS: Object.entries(mainFuncs).forEach(([key, value]) =&gt; {<br><br>iterate over kvps in object<br>	ToCards_02_02_25.odt
cRg1--VaZi	TopicCloze	Active::ProgrammingGeneral::javascript	"<span class=""code"">/**<br>* @type {Object&lt;String, Function&gt;}<br>*/</span><br>know that types are {{c3::sometimes}} are {{c2::captitalized}}"	JS				<br>/**<br> * @type {Object&lt;String, Function&gt;}<br> */<br><br>know that String and Function are captitalized<br>	ToCards_02_02_25.odt
NsaJY&4qeO	TopicCloze	Active::ProgrammingGeneral::javascript	"<ul><li>{{c2::<span class=""code"">Element</span>}} is a general class representing {{c1::any DOM element}}</li><li>{{c3::<span class=""code"">HTMLElement</span>}} is a subclass of Element that represents {{c4:: specifically HTML elements (like <span class=""code"">&lt;div&gt;</span>, <span class=""code"">&lt;p&gt;</span>, etc.).}}</li></ul>"	JS				"
<ul>
<li><div><code>Element</code>
  is a more general class representing any DOM element, including
  <code>SVGElement</code>, <code>HTMLElement</code>,
  etc.</div>
</li><li><div><code>HTMLElement</code> is a subclass of
  <code>Element</code> that specifically represents
  HTML elements (like <code>&lt;div&gt;</code>, <code>&lt;p&gt;</code>,
  etc.).</div>
</li></ul>"	ToCards_02_02_25.odt
ckzQb9yV=U	TopicCloze	Active::ProgrammingGeneral::javascript	"<span class=""code"">console.log({{c3::""h2s"", h2s}})</span>;<br><br>{{c2::log 2 things at same time}}. {{c1::Python}} can do this too"	JS				"<br> JS: can log 2 things at the same time. Python can do this too<br> console.log(""h2s"", h2s);"	ToCards_02_02_25.odt
H_HDKt/*sT	TopicCloze	Active::ProgrammingGeneral::javascript	"<span class=""code"">{{c1::Array.some()}}</span> tests whether {{c2::at least one element}} {{c3::passes}} a {{c4::test function}}"	JS				"Array.some() is a JavaScript method that tests whether at least one element in an array passes a given test function &lt;-<br><br> const validTypes = [""Noun"", ""Adjective"", ""Verb""]<br> validTypes.some((e) =&gt; { _type.includes(e) });<br>"	ToCards_02_02_25.odt
K0>nBG!G?:	TopicCloze	Active::ProgrammingGeneral::javascript	"<span class=""code"">const words = ['spray', 'elite', 'exuberant', 'destruction', 'present'];<br>const result = words.filter((word) =&gt; word.length &gt; 6);<br>console.log(result);</span><br><br><span class=""code"">{{c3::filter()}}</span> {{c2::removes}} what {{c1::matches}} the check<br><span class=""code"">// Expected output: Array [""exuberant"", ""destruction"", ""present""]</span>"	JS				"const words = ['spray', 'elite', 'exuberant', 'destruction', 'present'];

const result = words.filter((word) =&gt; word.length &gt; 6);

console.log(result);
// Expected output: Array [""exuberant"", ""destruction"", ""present""]

JS: filter() removes what matches the check
"	ToCards_02_02_25.odt
x8NP2[!;cs	TopicCloze	Active::ProgrammingGeneral::javascript	"one way of {{c2::assigning 2 variabls at once}}<br><br><span class=""code"">{{c1::let [a, b] = [7, 117];}}</span>"	JS				<pre>let [a, b] = [7, 117]; one way of assigning 2 variabls at once</pre>	ToCards_02_02_25.odt
o/>QV9[c:P	TopicCloze	Active::ProgrammingGeneral::javascript	"<span class=""code"">myArry.{{c2::find}}(e =&gt; {{c3::(s/th that evals True/ False)}});</span><br><br>returns {{c1::ele that passes the test}}"	JS				"const match = validTypes.find(e =&gt;
_type.includes(e));
find()
"	ToCards_02_02_25.odt
j!:tv@1ZHn	ExCloze	Active::ProgrammingGeneral::javascript	"<span class=""code"">const value = obj.key ?? 10; // 42</span><br><br>?? is {{c1::the null coalescer}}. Works on {{c2::undefined as well}}"	"const value = obj.key ?? 10; // 42

?? null coalescing. Works on undefined as well"	ToCards_02_02_25.odt				
c,^tOkIzM!	TopicCloze	Active::ProgrammingGeneral::javascript	"✅ Allowed in Content Scripts:<br><ul><li><span class=""code"">browser.runtime.{{c1::sendMessage}}()</span></li><li><span class=""code"">browser.{{c2::storage}}</span></li><li><span class=""code"">browser.{{c3::i18n&nbsp;}}</span></li></ul>"	JS				✅ Allowed:<br><ul><li>browser.runtime.sendMessage() / chrome.runtime.sendMessage()</li><li>browser.storage / chrome.storage</li><li>browser.i18n / chrome.i18n</li></ul>❌ Not Allowed (Background-Only):<br><ul><li>browser.tabs (e.g., tabs.update, tabs.create)</li><li>browser.windows</li><li>browser.webRequest</li><li>browser.contextMenus</li></ul>	ToCards_02_02_25.odt
I/PvNrgk`_	TopicCloze	Active::ProgrammingGeneral::javascript	"❌ Not Allowed in Content scripts {{c4::(Background-Only)}}:<br><ul><li><span class=""code"">browser.{{c1::tabs}}</span></li><li><span class=""code"">browser.{{c2::windows}}</span></li><li><span class=""code"">browser.{{c5::webRequest}}</span></li><li><span class=""code"">browser.{{c3::contextMenus}}</span></li></ul>"	JS				✅ Allowed:<br><ul><li>browser.runtime.sendMessage() / chrome.runtime.sendMessage()</li><li>browser.storage / chrome.storage</li><li>browser.i18n / chrome.i18n</li></ul>❌ Not Allowed (Background-Only):<br><ul><li>browser.tabs (e.g., tabs.update, tabs.create)</li><li>browser.windows</li><li>browser.webRequest</li><li>browser.contextMenus</li></ul>	ToCards_02_02_25.odt
M(]Cd<8<C@	TopicCloze	Active::ProgrammingGeneral::Python	In {{c1::classes}}, {{c2::__repr__()}} let's you {{c3::define}} how the class prints<br>	py				"Class called Phoneme <br>&nbsp; def __repr__(self): <br>&nbsp; &nbsp; return f""{self.__class__.__name__}('{self.letter}')""<br> <br> let’s you define how a class prints"	ToCards_02_20_25.odt
tC)g(12;9-	TopicCloze	Active::ProgrammingGeneral::regex	each {{c1::()}} is a {{c2::capturing group}}	regex				"<pre>each () in a regex is a capture group
</pre>"	ToCards_02_20_25.odt
"pE#hAT76ej"	TopicCloze	Active::ProgrammingGeneral::regex	capturing grps can be {{c1::named}}.<br>How {{c2::depends}} on language..	regex				"<pre>regex capture groups can be named how you do it depends on the language<br>
</pre>"	ToCards_02_20_25.odt
B%5IBj{UE3	TopicCloze	Active::ProgrammingGeneral::javascript	{{c1::(}}{{c2::?}}{{c3::&lt;name&gt;}}{{c1::)}}<br>{{c4::named capturing grp}}	js				"
javascript name capture group (?<name>…)
</name>"	ToCards_02_20_25.odt
QCw38I6As0	TopicCloze	Active::ProgrammingGeneral::Python	// prints {{c1::capturing grp 1}} from regex<br>&nbsp;print(match.{{c2::group(1)}})	py				// prints capture group 1 from regex python<br>print(match.group(1))	ToCards_02_20_25.odt
QznrNFk[$2	TopicCloze	Active::ProgrammingGeneral::regex	{{c1::positive look ahead}} {{c2::(?=)}}	regex				regex positive look ahead (?=)<br> negative (?!)	ToCards_02_20_25.odt
Fo>|/$%:qA	TopicCloze	Active::ProgrammingGeneral::regex	{{c1::negative look ahead}} {{c2::(?!)}}	regex				regex positive look ahead (?=)<br> negative (?!)	ToCards_02_20_25.odt
"vqEdj*#4D4"	TopicCloze	Active::ProgrammingGeneral::regex	{{c1::non-capturing group}}<br>{{c2::(?:)}}	regex				<pre>regex non-capturing group (?:)</pre>	ToCards_02_20_25.odt
lWIFVP73aI	TopicCloze	Active::ProgrammingGeneral::General	s/ts you need functions to {{c1::build a regex}} bc it’s too long	regex	1			sometimes you need functions to build a regex bc it’s too long	ToCards_02_20_25.odt
ct(&az2k`/	TopicCloze	Active::ProgrammingGeneral::Python	{{c1::re.findall}} to match all w/ regex	py				python re.findall to match stuff with regex	ToCards_02_20_25.odt
PPxH+XxrIH	TopicCloze	Active::ProgrammingGeneral::Python	{{c1::re.finditer()}} to match all &amp; get indices<br>{{c3::start()}} {{c2::inclusive}} {{c4::end()}} {{c2::exclusive}}	py				"re.finditer to match and get the indices
start() inclusive end() exclusive"	ToCards_02_20_25.odt
BO;YGd<kK9	TopicCloze	Active::ProgrammingGeneral::Python	{{c1::re.finditer()}} {{c2::empty match grps}} are {{c3::None}}	py				<pre>finditer match empty match grps are none</pre>	ToCards_02_20_25.odt
lpH[X$Ax+/	TopicCloze	Active::ValyParent::Notes::Misc	{{c1::ēngenka}} is {{c2::good tasting}}, {{c4::sȳz}} is {{c3::good quality}}	of food				"Previously, you've known only <strong>sȳz</strong> to mean ""good"". While you can use <strong>sȳz</strong>
 with food, it generally refers to the quality, rather than the taste. To describe food as ""good"" (meaning that 
you like the taste of it), you should use the word <strong>ēngenka</strong> instead."	HV_tips_and_tricks
D%P.vt_|=d	TopicCloze	Active::ValyParent::Notes	{{c2::lun/ sol!c3}} nouns tend to be {{c1::countable}}<br>{{c3::ter/ aq!c2}} tend to be {{c1::uncoutable}}			z		In general, lunar and solar nouns tend to be count nouns, while terrestrial and aquatic nouns tend to be mass nouns.	HV_tips_and_tricks
eN[.P=q<Z*	TopicCloze	Active::ProgrammingGeneral::VSCode	vscode supports {{c2::jupyter notebooks}}. For python they are {{c1::.ipynb}} files	vscode				<pre>Vscode has an interactive mode? .ipynb like google collab. No idea how it works tho</pre>	ToCards_02_22_25.odt
"M#P^<c&zO("	TopicCloze	Active::ProgrammingGeneral::Python	"<span class=""code"">{{c1::type()}}</span> w/ arg returns {{c2::the type}}<br><span class=""code"">{{c1::type()}}</span> w/ 3 args {{c3::dynamically}} {{c4::creates a new class}}<br><br><br><span class=""code"">{{c1::type}}(""MyClass"", (object,), {""x"": 42, ""hello"": lambda self: ""Hello, world!""})<br><br># **Vals**: {{c7::new cls name}}, {{c6::base cls}}, {{c5::dict of vars and methods}}</span>"	py				<pre>python type() returns the type as a string? Or maybe a type obj idk double check that</pre>	ToCards_02_22_25.odt
m9]^Cz,uUc	TopicCloze	Active::ProgrammingGeneral::Python	{{c1::sys.exit()}} raises the {{c2::SystemExit exception}} to end the program	py				"<div>&nbsp;sys.exit() also raises the SystemExit exception. This means that it
is the same as quit and exit in that respect.</div>
<pre>Unlike those two however, sys.exit is considered good to use in production code. This is because the sys module will always be there.<br>
<br>
Nevertheless, quit should not be used in production code. This is because it only works if the site module is loaded. Instead, this function should only be used in the interpreter.</pre>"	ToCards_02_22_25.odt
AzNZb[hv`Z	TopicCloze	Active::ProgrammingGeneral::Python	{{c2::sys.exit}} is {{c1::good}} to use in production. Bc the {{c1::sys module}}<br>is {{c3::always there}}.	py				"<div>&nbsp;sys.exit() also raises the SystemExit exception. This means that it
is the same as quit and exit in that respect.</div>
<pre>Unlike those two however, sys.exit is considered good to use in production code. This is because the sys module will always be there.<br>
<br>
Nevertheless, quit should not be used in production code. This is because it only works if the site module is loaded. Instead, this function should only be used in the interpreter.</pre>"	ToCards_02_22_25.odt
y>I:P:i3S7	TopicCloze	Active::ProgrammingGeneral::Python	{{c1::quit()}} shouldn't be used in production. Bc it relys<br>on the {{c2::site module}}	py				"<div>&nbsp;sys.exit() also raises the SystemExit exception. This means that it
is the same as quit and exit in that respect.</div>
<pre>Unlike those two however, sys.exit is considered good to use in production code. This is because the sys module will always be there.<br>
<br>
Nevertheless, quit should not be used in production code. This is because it only works if the site module is loaded. Instead, this function should only be used in the interpreter.</pre>"	ToCards_02_22_25.odt
IY2AeMVY$j	TopicCloze	Active::ValyParent::Notes	{{c4::Skorverdon}} is always {{c3::followed}} {{c2::noun}} in {{c1::gen pl}}			z		<pre>Skorverdon is always followed by noun in gen pulural</pre>	ToCards_03_02_25.odt
"x%@%]Pk#1P"	TopicCloze	Active::ValyParent::Notes	skorverdon is the {{c1::argument of sentence}} and is {{c2::singular}}<br><br>skorverdon valoti {{c3::vaedas!c4::vāedagon}}. Not {{c4::vaedis!c3::vāedagon}}			f		skorverdon is the argument of sentence and is singular<br><br>skorverdon valoti <b>vaedas</b> not vaedis	ToCards_03_02_25.odt
tF.+u.mKUz	TopicCloze	Active::ValyParent::Notes	{{c1::question words}}<br>are typically {{c2::sp}} for {{c3::animate}}<br>and {{c2::sk}} for {{c3::inanimate}}	question words	1			HV question words: typically sp for animate and sk for inanimate	ToCards_03_02_25.odt
tVbeex+EkS	TopicCloze	Active::ProgrammingGeneral::Python	"{{c1::generating a tuple}}<br><ul><li><span class=""code"">(v for v in sv)</span> {{c2::incorrect!c3::correct?}}</li><li><span class=""code"">({{c4::tuple(v for v in sv)}}</span> {{c3::correct!c2::correct?}}&nbsp;</li></ul>"	py				"
stat_row = (sk,)+tuple(v for v in sv)

not (v for v in sv) but tuple(v for v in sv)"	ToCards_03_02_25.odt
IDg`tg[2Lc	TopicCloze	Active::ProgrammingGeneral::SQL	"get {{c1::the sql gen statement}}<br> <span class=""code"">SELECT {{c2::sql}} {{c3::FROM}} {{c4::sqlite_master}} {{c5::WHERE}} {{c6::type='table'}} {{c7::AND}} {{c8::name = 'example'}};</span>"	g_sql	1			"<pre>get the create table statement of a table<br>
SELECT sql FROM sqlite_master WHERE type='table' AND name='example'; </pre>"	ToCards_03_02_25.odt
lGhZ$2>xK5	ExCloze	Active::ProgrammingGeneral::ThingsToDo	Make a {{c1::bidirectional}} dict in {{c2::python}}	make a bidirectional dictionary in python	ToCards_03_04_25				
p|h?9^QjFg	TopicCloze	Active::ProgrammingGeneral::SQL	<ul><li>{{c1::incorrect!c2}}<br><br>someKey Integer Foreign Key (someKey) References someTable(id)<br><br></li><li>{{c2::correct!c1}}<br><br>someKey Integer,<br>Foreign Key (someKey) References someTable(id)</li></ul>	sql/ correct?				SQL <br><br>someKey Integer Foreign Key References someTable(id) X<br>someKey Integer,<br>Foreign Key (someKey) References someTable(id) &lt;--<br>FOREIGN KEY declarations need to be separated from the column definitions.	ToCards_03_04_25
zzQT|EC0sH	TopicCloze	Active::ProgrammingGeneral::SQL	<div>{{c2::foreign key}} constraints {{c1::are not}} enforced <br>by default in {{c3::SQLite}}.<br></div>			x		"foreign key constraints not being enforced by default in SQLite.<br>cursor.execute(""PRAGMA foreign_keys = ON;"")"	ToCards_03_04_25
hs4gg-kbVg	TopicCloze	Active::ProgrammingGeneral::SQL	"Does: getc {{c1::col # and name}} from table_name<br>Select {{c2::cid}}, {{c3::name}} From {{c4::pragma_table_info}}({{c5::'table_name’}});&nbsp;"	SQL				"Select cid, name From pragma_table_info('table_name’); getc col # and name for table_name"	ToCards_03_04_25
s`oGIN)sK%	TopicCloze	Active::ProgrammingGeneral::SQL	{{c1::Right Join}} not supported	SQLite				Right Join (Not Supported in SQLite)	ToCards_03_04_25
yCczDKgZ0H	TopicCloze	Active::ProgrammingGeneral::SQL	you can create {{c1::an index}} on {{c2::a table}}<br>{{c3::after it’s been created}}	SQL				you can create an index on table after it’s been created	ToCards_03_04_25
ueN1VnYvUT	TopicCloze	Active::ProgrammingGeneral::Python	"<span class=""code"">{{c1::from _ import _}}</span> will {{c2::hard copy}} vals that are {{c3::literals}}"	py				python from import hard copy values that are literals	ToCards_03_04_25
POB}2V_l*p	TopicCloze	Active::ProgrammingGeneral::Python	"<span class=""code"">{{c1::x for x in iterable}}</span> &lt;-- is called a {{c2::Generator}}"	py				python x for x in interable is called a Generator	ToCards_03_04_25
"xWm>LAH#[)"	TopicCloze	Active::ProgrammingGeneral::SQL	{{c1::foreign keys}} don't need to be {{c2::unique}}.<br>They only need to exist in {{c3::another table’s col}}	SQL				foreign keys do not need to be unique identifers. They only need to exist in another table’s col	ToCards_03_04_25
c699ra(|4N	TopicCloze	Active::ProgrammingGeneral::SQL	"<span class=""code"">{{c2::cursor}}.{{c1::description}}[{{c3::0}}]</span> to get {{c4::alias name}}"	sqlite				<pre>cursor.description[0] to get alias name</pre>	ToCards_03_04_25
t7;hQ2&.h@	TopicCloze	Active::ProgrammingGeneral::SQL	"<ul><li><span class=""code"">WHERE x IS NULL</span> {{c1::correct!c2::correct?}}</li><li><span class=""code"">WHERE x = NULL</span> {{c2::incorrect!c1::correct?}}</li></ul>"	SQL				"<pre>IS NULL  not  = NULL<br>
IS NOT NULL not != NULL</pre>"	ToCards_03_04_25
os(k~DZh`D	TopicCloze	Active::ProgrammingGeneral::Python	"<div>makes string with generator<br></div><div><br></div><div><span class=""code"">{{c1::"""".join}}(f""{e}"" for e in some_iterable)</span></div>"	py				"<pre>"""".join(f""Create Table {n}2 (name)"" for n in table_names)<br>
generator but making a string</pre>"	ToCards_03_04_25
{~&4;&G22	TopicCloze	Active::ProgrammingGeneral::SQL	"<span class=""code"">INSERT INTO employees_new (id, name, age)<br>SELECT id, name, age FROM employees;</span><br><br>You can {{c1::insert}} from a {{c2::select}}"	SQL				"<pre>INSERT INTO employees_new (id, name, age)
SELECT id, name, age FROM employees;<br>
<br>
insert from selection</pre>"	ToCards_03_04_25
cgFA|^[O0J	TopicCloze	Active::ProgrammingGeneral::SQL	"<span class=""code"">{{c1::executescript()}}</span><br><br> will {{c2::automatically commit}} unless<br>you start with<br><br><span class=""code"">{{c3::BEGIN TRANSACTION;}}</span>"	sqlite				<pre>executescript will automatically commit unless you start with Begin Transaction;</pre>	ToCards_03_04_25
B<qxk6u$a)	TopicCloze	Active::ProgrammingGeneral::SQL	"<span class=""code"">{{c1::ALTER}} {{c2::TABLE}} {{c3::some_table}}&nbsp;{{c4::RENAME}} {{c5::TO}} {{c6::new_name}};</span>"	SQL rename table				"<pre>ALTER TABLE employees_new RENAME TO employees;
renaming table</pre>"	ToCards_03_04_25
Q>yw~~_SX|	TopicCloze	Active::ProgrammingGeneral::SQL	"gets time from a {{c1::timestamp col}}.<br><br><span class=""code"">SELECT {{c2::strftime}}({{c3::'%some_arg'}}, {{c4::some_col}}) FROM example;</span>"	SQL				"<pre><div>&nbsp;SELECT strftime('%some_arg', some_col) FROM example;</div>
gets time from a timestamp col. Stands for string format time<br>
–<br>
Common strftime format specifiers in SQLite:

    %Y - Year (4 digits)
    %m - Month (2 digits)
    %d - Day of the month (2 digits)
    %H - Hour (24-hour format)
    %M - Minute
    %S - Second
    %s - Unix timestamp (seconds since epoch)</pre>"	ToCards_03_04_25
Hf][l6Eki7	TopicCloze	Active::ProgrammingGeneral::SQL	"<span class=""code"">{{c2::strftime}}()</span> stands for {{c1::string format time}}"	sqlite				"<pre><div>&nbsp;SELECT strftime('%some_arg', some_col) FROM example;</div>
gets time from a timestamp col. Stands for string format time<br>
–<br>
Common strftime format specifiers in SQLite:

    %Y - Year (4 digits)
    %m - Month (2 digits)
    %d - Day of the month (2 digits)
    %H - Hour (24-hour format)
    %M - Minute
    %S - Second
    %s - Unix timestamp (seconds since epoch)</pre>"	ToCards_03_04_25
mceNhq)[iu	TopicCloze	Active::ProgrammingGeneral::SQL	strftime format specifiers<br><br>{{c1::%Y}} - {{c2::Year!c3}} {{c3::(4 digits)}}	sqlite				"<pre><div>&nbsp;SELECT strftime('%some_arg', some_col) FROM example;</div>
gets time from a timestamp col. Stands for string format time<br>
–<br>
Common strftime format specifiers in SQLite:

    %Y - Year (4 digits)
    %m - Month (2 digits)
    %d - Day of the month (2 digits)
    %H - Hour (24-hour format)
    %M - Minute
    %S - Second
    %s - Unix timestamp (seconds since epoch)</pre>"	ToCards_03_04_25
w;`{EXSOpL	TopicCloze	Active::ProgrammingGeneral::SQL	strftime format specifiers<br><br>{{c1::%m}} - {{c2::Month}} {{c3::(2 digits)}}	sqlite				"<pre><div>&nbsp;SELECT strftime('%some_arg', some_col) FROM example;</div>
gets time from a timestamp col. Stands for string format time<br>
–<br>
Common strftime format specifiers in SQLite:

    %Y - Year (4 digits)
    %m - Month (2 digits)
    %d - Day of the month (2 digits)
    %H - Hour (24-hour format)
    %M - Minute
    %S - Second
    %s - Unix timestamp (seconds since epoch)</pre>"	ToCards_03_04_25
H2ZhZErS7i	TopicCloze	Active::ProgrammingGeneral::SQL	strftime format specifiers<br><br>{{c1::%d}} - {{c2::Day of Month!c3}} {{c3::(2 digits)}}	sqlite				"<pre><div>&nbsp;SELECT strftime('%some_arg', some_col) FROM example;</div>
gets time from a timestamp col. Stands for string format time<br>
–<br>
Common strftime format specifiers in SQLite:

    %Y - Year (4 digits)
    %m - Month (2 digits)
    %d - Day of the month (2 digits)
    %H - Hour (24-hour format)
    %M - Minute
    %S - Second
    %s - Unix timestamp (seconds since epoch)</pre>"	ToCards_03_04_25
sfu~N4)BeS	TopicCloze	Active::ProgrammingGeneral::SQL	strftime format specifiers<br><br>{{c1::%H}} - {{c2::Hour!c3}} {{c3::(24-hour format)}}	sqlite				"<pre><div>&nbsp;SELECT strftime('%some_arg', some_col) FROM example;</div>
gets time from a timestamp col. Stands for string format time<br>
–<br>
Common strftime format specifiers in SQLite:

    %Y - Year (4 digits)
    %m - Month (2 digits)
    %d - Day of the month (2 digits)
    %H - Hour (24-hour format)
    %M - Minute
    %S - Second
    %s - Unix timestamp (seconds since epoch)</pre>"	ToCards_03_04_25
EzAI?FI}2V	TopicCloze	Active::ProgrammingGeneral::SQL	strftime format specifiers<br><br>{{c1::%M}} - {{c2::Minute}}	sqlite				"<pre><div>&nbsp;SELECT strftime('%some_arg', some_col) FROM example;</div>
gets time from a timestamp col. Stands for string format time<br>
–<br>
Common strftime format specifiers in SQLite:

    %Y - Year (4 digits)
    %m - Month (2 digits)
    %d - Day of the month (2 digits)
    %H - Hour (24-hour format)
    %M - Minute
    %S - Second
    %s - Unix timestamp (seconds since epoch)</pre>"	ToCards_03_04_25
M&f(Y%Iwv-	TopicCloze	Active::ProgrammingGeneral::SQL	strftime format specifiers<br><br>{{c1::%S}} - {{c2::Second}}	sqlite				"<pre><div>&nbsp;SELECT strftime('%some_arg', some_col) FROM example;</div>
gets time from a timestamp col. Stands for string format time<br>
–<br>
Common strftime format specifiers in SQLite:

    %Y - Year (4 digits)
    %m - Month (2 digits)
    %d - Day of the month (2 digits)
    %H - Hour (24-hour format)
    %M - Minute
    %S - Second
    %s - Unix timestamp (seconds since epoch)</pre>"	ToCards_03_04_25
